lon,lat,shortdescription,equipmentno
-73.75540499924732,40.60399500168754,"('Street to platform', 'Street to platform')","('EL498', 'EL497')"
-73.78381700176453,40.71264566674404,"('Mezzanine to terminal', 'Mezzanine to Manhattan-bound platform', 'Street to mezzanine')","('EL433', 'EL432', 'EL431')"
-73.80109632298924,40.7020673762118,"('Mezzanine to E & J/Z platforms', 'Street to mezzanine')","('EL413', 'EL412')"
-73.80800471963833,40.70038242423,"('Mezzanine to platforms', 'Street to mezzanine', 'Street to mezzanine', 'Street to mezzanine')","('EL411', 'EL448X', 'EL449X', 'EL450X')"
-73.81701287135405,40.7028985528731,"('Street to mezzanine', 'Mezzanine to platform')","('EL409', 'EL408')"
-73.82579799906613,40.6859509987836,"('Mezzanine to platform', 'Street to mezzanine')","('EL463', 'EL462')"
-73.82812100059289,40.8524619995166,"('Mezzanine to platform', 'Street to mezzanine')","('EL122', 'EL121')"
-73.83003000262508,40.7595999991501,"('Street to platform',)","('EL414',)"
-73.83030100071032,40.6604760000495,"('Street to mezzanine', 'Street to mezzanine', 'Mezzanine to Far Rockaway-bound platform', 'Mezzanine to Far Rockaway-bound platform', 'Mezzanine to Manhattan-bound platform', 'Mezzanine to Manhattan-bound platform')","('EL490X', 'EL491X', 'EL492X', 'EL493X', 'EL494X', 'EL495X')"
-73.8303702709878,40.71403481957102,"('Mezzanine to Jamaica-bound platform', 'Street to mezzanine', 'Mezzanine to Manhattan-bound platform')","('EL435', 'EL434', 'EL436')"
-73.83591899965162,40.67209699917284,"('Street to platform',)","('EL489X',)"
-73.84451672012669,40.7215943095358,"('Mezzanine to Manhattan-bound platform', 'Mezzanine to Queens-bound platform', 'Street to mezzanine')","('EL439', 'EL438', 'EL437')"
-73.84638400151765,40.8695259996267,"('Street to Bronx-bound platform', 'Street to Manhattan-bound platform', 'Street to Manhattan-bound platform', 'Street to Bronx-bound platform')","('EL199', 'EL198', 'EL183', 'EL182')"
-73.85535900043564,40.85898499982011,"('Mezzanine to Bronx-bound platform', 'Mezzanine to Manhattan-bound platform', 'Street to mezzanine')","('EL138', 'EL137', 'EL136')"
-73.85736239521543,40.8931432413837,"('Mezzanine to Manhattan-bound platform', 'Mezzanine to Bronx-bound platform', 'Street to mezzanine')","('EL194', 'EL193', 'EL192')"
-73.86613410538703,40.87783938517202,"('Street to Bronx-bound platform', 'Street to Manhattan-bound platform', 'Street to Manhattan-bound platform', 'Street to Bronx-bound platform')","('EL199', 'EL198', 'EL183', 'EL182')"
-73.86748067850041,40.85719240916,"('Mezzanine to Bronx-bound platform', 'Mezzanine to Manhattan-bound platform', 'Street to mezzanine')","('EL138', 'EL137', 'EL136')"
-73.86952700103515,40.7491449994883,"('Overpass to Flushing-bound platform', 'Overpass to Manhattan-bound platform', 'Street to mezzanine & overpass')","('EL427', 'EL426', 'EL425')"
-73.87210600099675,40.67537699823936,"('Mezzanine to Queens-bound platform', 'Mezzanine to Manhattan-bound platform', 'Street to mezzanine')","('EL343', 'EL342', 'EL341')"
-73.87334609510884,40.841863041218,"('Street to Manhattan-bound platform', 'Street to Bronx-bound platform')","('EL160', 'EL159')"
-73.88713799889574,40.8732439986164,"('Mezzanine to Bronx-bound platform', 'Street to mezzanine', 'Mezzanine to Manhattan-bound platform')","('EL501', 'EL500', 'EL502')"
-73.89054900017344,40.820947998523,"('Mezzanine to Manhattan-bound platform', 'Mezzanine to Bronx-bound platform', 'Street to mezzanine')","('EL197', 'EL196', 'EL195')"
-73.8912051289911,40.74686757382911,"('Mezzanine to Manhattan-bound 7', 'Street to Queens-bound 7 & E/F/M/R/& mezzanines')","('EL423', 'EL420')"
-73.89129866519697,40.7465396911588,"('Mezzanine to Queens-bound E/F/M/R', 'Manhattan-bound E/F/M/R to E/F/M/R/7 mezzanines')","('EL422', 'EL421')"
-73.89306639507903,40.82397684123739,"('Street to Bronx-bound platform', 'Street to Manhattan-bound platform')","('EL127', 'EL128')"
-73.8935090000331,40.8669779999994,"('Mezzanine to Manhattan-bound platform', 'Mezzanine to Bronx-bound platform', 'Street to mezzanine')","('EL191', 'EL190', 'EL189')"
-73.89717400101743,40.86776000088579,"('Mezzanine to Manhattan-bound platform', 'Mezzanine to Bronx-bound platform', 'Street to mezzanine')","('EL191', 'EL190', 'EL189')"
-73.89774900102401,40.86129599868349,"('Mezzanine to Manhattan-bound platform', 'Mezzanine to Woodlawn-bound platform', 'Street to mezzanine')","('EL188', 'EL187', 'EL186')"
-73.90056237226057,40.6640572709464,"('Passageway to platform', 'Street to Platform via passage')","('EL772', 'EL771')"
-73.90103399921699,40.8628029998893,"('Mezzanine to Manhattan-bound platform', 'Mezzanine to Woodlawn-bound platform', 'Street to mezzanine')","('EL188', 'EL187', 'EL186')"
-73.90177778730917,40.8194872648384,"('Street to Brooklyn-bound platform', 'Street to Manhattan-bound platform')","('EL383', 'EL382')"
-73.90298400173006,40.74563000113839,"('Street to 7 & LIRR mezzanine', 'Mezzanine to Manhattan-bound platform', 'Mezzanine to Flushing-bound platform')","('EL415X', 'EL416X', 'EL417X')"
-73.90409799875945,40.812117998272,"('Street to mezzanine for southbound service', 'Street to mezzanine for northbound service')","('EL516', 'EL515')"
-73.90483400107873,40.8788559981793,"('Street to Bronx-bound platform', 'Street to Manhattan-bound platform')","('EL185', 'EL184')"
-73.9109757182647,40.69947106242713,"('Mezzanine to M platform', 'Mezzanine to L platform', 'Street to mezzanines')","('EL398', 'EL397', 'EL396')"
-73.91217899939602,40.6994540009083,"('Mezzanine to M platform', 'Mezzanine to L platform', 'Street to mezzanines')","('EL398', 'EL397', 'EL396')"
-73.91339999846983,40.8393059996415,"('Mezzanine to southbound service', 'Mezzanine to northbound service', 'Street to mezzanine')","('EL508', 'EL507', 'EL506')"
-73.91779099745928,40.84007499993,"('Mezzanine to southbound service', 'Mezzanine to northbound service', 'Street to mezzanine')","('EL508', 'EL507', 'EL506')"
-73.91779152760981,40.81602925251,"('Street to Manhattan-bound platform', 'Street to Bronx-bound platform')","('EL130', 'EL129')"
-73.91809500109238,40.7700369994908,"('Mezzanine to Manhattan-bound platform', 'Mezzanine to Astoria-bound platform', 'Street to mezzanine', 'Street to mezzanine')","('EL467', 'EL466', 'EL465', 'EL464')"
